,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
0,Equal Parts School and Self-Taught,Academic,$40k - $60k,"ArcGIS,Excel,ggplot2,Gephi,Illustrator,Java,Leaflet,Mapbox,Plotly,Python,QGIS,R,Tableau,WebComponents,Pen&Paper,Otherphysicalmaterials,Canvas,GeoDa","PieChart,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Biology,Genderqueer,USA,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes
1,Mostly Self-Taught,Leadership,< $20k,"Excel,Tableau,Piktochart,Venngage,Flourish","LineChart,BarChart,PieChart,Infographics,PictorialVisualization",Journalism,Public Administration,Man,Tanzania,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no
2,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"Excel,PowerBI,R,Tableau,Pen&Paper,PowerPoint","LineChart,BarChart,PieChart,Scatterplot,Treemap",Public sector,Mathematics,Man,USA,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
3,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Googledatastudio","LineChart,BarChart",Marketing,English!,Man,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
4,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Googledatastudio","LineChart,BarChart",Marketing,English!,Man,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
5,Mostly Self-Taught,Developer,$80k - $100k,"D3,Illustrator,Leaflet,PowerBI","BarChart,PieChart,Infographics,Treemap,NetworkDiagram",Private sector,Computer Science,Man,USA,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no
6,Mostly Self-Taught,Analyst,$100k - $120k,"PowerBI,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Information Technology,Man,USA,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
7,Mostly Self-Taught,Leadership,$20k - $40k,"D3,Angular,Excel,Java,R,React,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,Engineering,Man,Greece,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no
8,Equal Parts School and Self-Taught,Academic,$100k - $120k,"ArcGIS,D3,Excel,Illustrator,Leaflet,Mapbox,Processing,Python,QGIS,Pen&Paper,P5/Processing,Three.js","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic + Journalism,Philosophy,Man,USA,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes
9,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Excel,Java,Mapbox,Python,R,Vega,Vue,WebGL,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,RasterMap",We are a private company but work in all sectors listed,Nuclear Engineering Technology ,Man,USA,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes
11,Mostly Self-Taught,Leadership,$200k+,"Illustrator,Mapbox,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private Sector and Academic,Music,Man,USA,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
12,Equal Parts School and Self-Taught,Student,$60k - $80k,"D3,Excel,Illustrator,Mapbox,kepler.gl,Python,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,SwarmChart,Force-DirectedGraph",Academic,math and physics,Man,USA,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no
13,Mostly Self-Taught,Academic,$140k - $160k,"Excel,ggplot2,Gephi,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,SwarmChart,Force-DirectedGraph",Academic,Business,Man,Australia,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no
15,Mostly Self-Taught,Engineer,< $20k,"ggplot2,R","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap",Private sector,Programming,Man,Vietnam,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
16,Equal Parts School and Self-Taught,Engineer,$120k - $140k,"Excel,ggplot2,PowerBI,Python,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,3DCharts",Private sector,Business Administration,Man,USA,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
17,Mostly From School (or other formal courses),Designer,$60k - $80k,"ArcGIS,D3,Excel,Gephi,Illustrator,R,Tableau","BarChart,Scatterplot,Infographics",Academic,Biology,Man,USA,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
18,Mostly Self-Taught,Designer,$100k - $120k,"Excel,Highcharts,Illustrator,Mapbox,kepler.gl,Plotly,PowerBI,QGIS,Canvas,Matplotlib,Flourish","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,ChoroplethMap,RasterMap",Not-for-profit,Political science,Man,USA,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes
19,Mostly Self-Taught,Designer,$60k - $80k,"Excel,Illustrator","LineChart,BarChart,PieChart,Infographics,PictorialVisualization",Private sector,English,Man,USA,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no
20,Mostly Self-Taught,Scientist,$20k - $40k,"Python,Vega","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,"Business Administration, and Finance",Man,Vietnam,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
21,Equal Parts School and Self-Taught,Scientist,$20k - $40k,"Cytoscape,Excel,ggplot2,R,Pen&Paper","LineChart,Scatterplot,Dendrogram,NetworkDiagram",Academic,Biology,Man,USA,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
22,Mostly Self-Taught,Analyst,$40k - $60k,"D3,Tableau","LineChart,BarChart,PieChart,Scatterplot,Treemap",Private sector,AI and visualization,Man,Spain,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
24,Mostly Self-Taught,Academic,$100k - $120k,"ArcGIS,Excel,Illustrator,R,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,Treemap,NetworkDiagram",Academic,Architecture,Man,USA,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no
26,Mostly Self-Taught,Academic,$20k - $40k,"Excel,ggplot2,Gephi,Python,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic,Interdisciplinary Social Studies,Man,USA,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,no
27,Mostly From School (or other formal courses),Other,$80k - $100k,"ArcGIS,Excel,Illustrator,Mapbox,kepler.gl,Plotly,Python,QGIS,Tableau,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,ChoroplethMap",Not-for-profit,Economics ,Man,USA,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no
28,Mostly Self-Taught,Analyst,$40k - $60k,"R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Mathematics - Statistics,Man,USA,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
31,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,Python,Tableau,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Chemistry,Man,United Kingdom,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
32,Mostly Self-Taught,Analyst,$40k - $60k,ggplot2,"LineChart,BarChart,Scatterplot,Hexbin/Heatmap,RasterMap,Spotlight,2-DimensionalPointDensity,Marginal",Private sector,Geology,Man,USA,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
33,Equal Parts School and Self-Taught,Analyst,$20k - $40k,"Pen&Paper,Otherphysicalmaterials,MSOffice","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Psychology,Man,Chile,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
36,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,French,Man,USA,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no
37,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,Treemap",Private sector,MIS,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
39,Mostly Self-Taught,Engineer,$200k+,Tableau,"LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Finance,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
41,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,ggplot2,Mapbox,QGIS,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics",Private sector,Finance,Man,USA,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
42,Mostly Self-Taught,Analyst,$60k - $80k,"PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Bank and Finance,Man,United Kingdom,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no
43,Mostly Self-Taught,Developer,$40k - $60k,"Python,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Music Production,Man,England,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
44,Mostly Self-Taught,Analyst,$120k - $140k,"Excel,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,ChoroplethMap",Private sector,History and Psychology,Man,USA,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no
45,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"D3,Excel,Illustrator,Mapbox,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap",Not-for-profit,Film,Man,USA,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no
46,Equal Parts School and Self-Taught,Designer,$80k - $100k,"Excel,Illustrator,Mapbox,Tableau,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,Scatterplot,Infographics,ChoroplethMap,RasterMap",Private sector,Economics,Man,USA,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes
47,Equal Parts School and Self-Taught,Developer,< $20k,"Excel,ggplot2,Python,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot",Private sector,liberal arts ,Man,Argentina,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
49,Mostly Self-Taught,Leadership,$100k - $120k,Tableau,"LineChart,BarChart,Scatterplot,Infographics,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Computer Science,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no
51,Mostly Self-Taught,Academic,$100k - $120k,"D3,ggplot2,Illustrator,R,Pen&Paper","LineChart,Scatterplot,Hexbin/Heatmap,SwarmChart,Densityplot",Academic,Computer Science,Man,USA,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
52,Mostly Self-Taught,Academic,$40k - $60k,"D3,ggplot2,Leaflet,Plotly,Python,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Academic,Mathematics,Man,USA,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no
53,Mostly Self-Taught,Academic,$100k - $120k,"D3,Plotly,Python,Vega,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,RasterMap",Academic,Computer science,Man,USA,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes
54,Mostly Self-Taught,Academic,$80k - $100k,"ggplot2,Illustrator,Python,R,Matlab","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,RasterMap,3DCharts,SwarmChart",Academic,Psychology,Man,USA,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes
55,Mostly Self-Taught,Academic,$60k - $80k,"ggplot2,Leaflet,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram",Academic,Chemistry ,Man,USA,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no
57,Mostly Self-Taught,Scientist,< $20k,"D3,Gephi,Plotly,Python","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,Force-DirectedGraph",Academic,Computer Science,Man,Spain,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no
58,Mostly Self-Taught,Leadership,$40k - $60k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Treemap",Private sector,Computing and Classical Civs,Man,United Kingdom,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
59,Mostly From School (or other formal courses),Leadership,$100k - $120k,"Excel,PowerBI,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics and Communications,Man,USA,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no
60,Mostly Self-Taught,Leadership,$200k+,"Excel,ggplot2,R","LineChart,BarChart,Scatterplot",Public sector,Statistics / business,Man,USA,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
61,Mostly Self-Taught,Analyst,$60k - $80k,"Python,Tableau","BarChart,Scatterplot,Hexbin/Heatmap,Infographics",Not-for-profit,Sports Medicine,Man,USA,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
62,Mostly Self-Taught,Academic,$60k - $80k,"Excel,ggplot2,Python,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart",Academic,Psychology,Man,USA,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes
63,Equal Parts School and Self-Taught,Designer,$20k - $40k,"ArcGIS,Excel,Highcharts,Illustrator,Mapbox,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Architecture,Man,India,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes
64,Mostly Self-Taught,Academic,$100k - $120k,"Excel,ggplot2,R,WebGL","LineChart,BarChart,PieChart,Scatterplot",Academic,Psychology,Man,USA,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
65,Mostly Self-Taught,Academic,$120k - $140k,"Excel,ggplot2,Gephi,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram",Academic,Business Marketing ,Man,Australia,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no
66,Mostly Self-Taught,Academic,$80k - $100k,"Excel,Gephi,Pen&Paper","BarChart,Force-DirectedGraph",Academic,economics and management,Man,France,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
67,Mostly Self-Taught,Academic,$100k - $120k,"Excel,ggplot2,R,Pen&Paper,Matlab,ShowMyData.org","Scatterplot,Dotplot,Histogram,Violinplot",Academic,Psychology (then PhD in vision science),Man,USA,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
69,Mostly Self-Taught,Leadership,$120k - $140k,"D3,GoogleSheets","LineChart,BarChart,PieChart,Scatterplot",Private sector,Advertising,Man,USA,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
70,Mostly Self-Taught,Analyst,$120k - $140k,Excel,"LineChart,BarChart,PieChart,ChoroplethMap",Public sector,Physics,Man,Luxembourg,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no
72,Mostly Self-Taught,Leadership,$60k - $80k,"Excel,Gephi,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart),VR/ARCharts",Private sector,Mechanical engineering ,Man,India,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
74,Mostly From School (or other formal courses),Analyst,$60k - $80k,"Excel,Microstrategy,PowerBI,Python","LineChart,BarChart,Scatterplot",Private sector,Business,Man,Canada,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
76,Equal Parts School and Self-Taught,Developer,$60k - $80k,"ggplot2,Gephi,PowerBI,Python,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics",Academic,French language & literature,Man,USA,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
77,Mostly Self-Taught,Leadership,$100k - $120k,"ArcGIS,Excel,Python,R,Tableau","LineChart,BarChart,PieChart,Infographics,RasterMap",Private sector,Linguistics,Man,Germany,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes
78,Mostly Self-Taught,Analyst,$180k - $200k,"Microstrategy,Tableau","LineChart,BarChart,PieChart,Scatterplot,PictorialVisualization,Treemap",Private sector,Computer Science,Man,Australia,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no
79,Mostly Self-Taught,Student,< $20k,"ggplot2,Plotly,Python,R","LineChart,BarChart,PieChart,Hexbin/Heatmap,Dendrogram,NetworkDiagram",Academic,Biology,Man,Italy,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no
80,Mostly Self-Taught,Engineer,$120k - $140k,"Cytoscape,D3,ggplot2,Java,Plotly,Processing,Python,R,React,WebGL,Canvas,P5/Processing,Cytoscape.js","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph,CirclePackingDiagram",Academic,Computer Science,Man,USA,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no
81,Mostly Self-Taught,Analyst,$20k - $40k,"ggplot2,Leaflet,Plotly,QGIS,R","LineChart,BarChart,Infographics,ChoroplethMap",Public sector,biologist in public health,Man,Peru,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no
82,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Excel,Qlik,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Not-for-profit,Business Administration,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
83,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"D3,Excel,Illustrator,PowerBI,Pen&Paper,Visio","LineChart,BarChart,PieChart,Scatterplot,Infographics,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,English lit and theater,Man,USA,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no
85,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,ggplot2,Python,R,Pen&Paper,Matplotlib","LineChart,BarChart,Scatterplot,NetworkDiagram,ChoroplethMap",Private sector,Mechanical engineering,Man,Japan,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no
86,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,R","LineChart,BarChart,Scatterplot,Dendrogram",Not-for-profit,Neuroscience,Man,United Kingdom,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
87,Mostly Self-Taught,Analyst,$180k - $200k,Tableau,"LineChart,BarChart,Treemap",Not-for-profit,International Business,Man,USA,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
88,Mostly Self-Taught,Leadership,$20k - $40k,Qlik,"LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Venndiagrams,Distributionplot,Scatterplot",Private sector,Computer Science,Man,Mexico,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no
90,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,PowerBI,Python,Qlik,R","LineChart,BarChart,PieChart,Scatterplot,Infographics,PictorialVisualization,Treemap,NetworkDiagram",Private sector,Matemática,Man,Brazil,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no
91,Mostly Self-Taught,Analyst,$60k - $80k,"PowerBI,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Human Resources,Man,South Africa,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
