,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
1062,Mostly Self-Taught,Student,$20k - $40k,"Excel,ggplot2,R,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,SwarmChart",Academic,Sociology,Woman,USA,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no
1063,Equal Parts School and Self-Taught,Student,$20k - $40k,"D3,Excel,ggplot2,Illustrator,Python,QGIS,R,Pen&Paper,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,computer engineering,Woman,USA,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes
1064,Mostly Self-Taught,Student,$20k - $40k,"Excel,ggplot2,Illustrator,Python,R,Pen&Paper,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization",Academic,Neurobiology,Woman,USA,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no
1065,Mostly Self-Taught,Scientist,$20k - $40k,"Excel,ggplot2,Illustrator,R,Pen&Paper","LineChart,Scatterplot,boxplot,densityplot,forestplot",Academic,Biology,Woman,USA,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
1066,Mostly From School (or other formal courses),Student,< $20k,"ggplot2,Illustrator,R,Flourish,RawGraphs","LineChart,BarChart,Scatterplot,Infographics,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Photography,Woman,USA,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no
1067,Mostly Self-Taught,Designer,$80k - $100k,"Excel,Illustrator,Pen&Paper","LineChart,BarChart,PieChart,Infographics,PictorialVisualization",Private sector,Advertising,Woman,USA,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no
1068,Mostly Self-Taught,Designer,$40k - $60k,Illustrator,"BarChart,PieChart,Infographics",Not-for-profit,Illustration,Woman,Canada,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
1069,Mostly Self-Taught,Designer,$80k - $100k,"Excel,Illustrator,QGIS,WebComponents,Pen&Paper","LineChart,BarChart,Hexbin/Heatmap,ChoroplethMap,RasterMap",Journalism,Biology,Woman,USA,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes
1070,Mostly Self-Taught,Leadership,$180k - $200k,"Python,Matplotlib","BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,Force-DirectedGraph",Private sector,Math,Woman,USA,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no
1071,Mostly Self-Taught,Leadership,$160k - $180k,"Excel,Illustrator","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart),Dotplot",Private sector,Graphic Design,Woman,USA,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
1072,Mostly Self-Taught,Leadership,$60k - $80k,"D3,Excel,ggplot2,Illustrator,Java,PowerBI,R,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Infographics,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart),VennDiagramsandTernaryPlots",Academic,Statistics,Woman,Scotland,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no
1073,Mostly Self-Taught,Other,$40k - $60k,Excel,"LineChart,BarChart,PieChart,PictorialVisualization,ChoroplethMap,Dotplot,wafflechart,etc.",Public sector,Health Science,Woman,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no
